lower,upper,quantity,interval,phi_rib
0.1149534,0.124492,phi_mem_ppc,40%,0.08513513513513514
0.116181,0.1231927,phi_mem_ppc,30%,0.08513513513513514
0.11734800000000001,0.122004,phi_mem_ppc,20%,0.08513513513513514
0.11859365000000001,0.12087235,phi_mem_ppc,10%,0.08513513513513514
0.1197205,0.1197205,phi_mem_ppc,median,0.08513513513513514
0.100215975,0.138831325,phi_mem_ppc,95%,0.09121621621621623
0.10373075000000001,0.1351353,phi_mem_ppc,90%,0.09121621621621623
0.1073077,0.1313561,phi_mem_ppc,80%,0.09121621621621623
0.109849,0.1289536,phi_mem_ppc,70%,0.09121621621621623
0.11023984,0.12858464,phi_mem_ppc,68%,0.09121621621621623
0.11174379999999999,0.1271602,phi_mem_ppc,60%,0.09121621621621623
0.1132765,0.12547975,phi_mem_ppc,50%,0.09121621621621623
0.1146487,0.1240333,phi_mem_ppc,40%,0.09121621621621623
0.11587694999999999,0.12274734999999999,phi_mem_ppc,30%,0.09121621621621623
0.117049,0.121607,phi_mem_ppc,20%,0.09121621621621623
0.11820255,0.120426,phi_mem_ppc,10%,0.09121621621621623
0.119338,0.119338,phi_mem_ppc,median,0.09121621621621623
0.0998601325,0.138356225,phi_mem_ppc,95%,0.0972972972972973
0.10332895,0.13499535,phi_mem_ppc,90%,0.0972972972972973
0.1071396,0.1312379,phi_mem_ppc,80%,0.0972972972972973
0.1096787,0.12874915,phi_mem_ppc,70%,0.0972972972972973
0.11008888,0.128355,phi_mem_ppc,68%,0.0972972972972973
0.1115598,0.1269406,phi_mem_ppc,60%,0.0972972972972973
0.113082,0.125383,phi_mem_ppc,50%,0.0972972972972973
0.114461,0.123987,phi_mem_ppc,40%,0.0972972972972973
0.11568729999999999,0.122646,phi_mem_ppc,30%,0.0972972972972973
0.11688420000000001,0.1215046,phi_mem_ppc,20%,0.0972972972972973
0.11804,0.1202999,phi_mem_ppc,10%,0.0972972972972973
0.119175,0.119175,phi_mem_ppc,median,0.0972972972972973
0.10009195,0.1379341,phi_mem_ppc,95%,0.10337837837837838
0.1035127,0.1344912,phi_mem_ppc,90%,0.10337837837837838
0.1070609,0.13067340000000002,phi_mem_ppc,80%,0.10337837837837838
0.109431,0.1284913,phi_mem_ppc,70%,0.10337837837837838
0.10980584,0.12802232,phi_mem_ppc,68%,0.10337837837837838
0.11120479999999999,0.1265804,phi_mem_ppc,60%,0.10337837837837838
0.11275075000000001,0.12506025,phi_mem_ppc,50%,0.10337837837837838
0.1140844,0.1236743,phi_mem_ppc,40%,0.10337837837837838
0.115419,0.122349,phi_mem_ppc,30%,0.10337837837837838
0.1166126,0.12112479999999999,phi_mem_ppc,20%,0.10337837837837838
0.11772865,0.11995235,phi_mem_ppc,10%,0.10337837837837838
0.118857,0.118857,phi_mem_ppc,median,0.10337837837837838
0.0996638175,0.13772915,phi_mem_ppc,95%,0.10945945945945947
0.1034072,0.13404399999999997,phi_mem_ppc,90%,0.10945945945945947
0.1069977,0.1303935,phi_mem_ppc,80%,0.10945945945945947
0.1093747,0.128041,phi_mem_ppc,70%,0.10945945945945947
0.10976984000000001,0.12766428,phi_mem_ppc,68%,0.10945945945945947
0.1111668,0.126248,phi_mem_ppc,60%,0.10945945945945947
0.1127305,0.1246345,phi_mem_ppc,50%,0.10945945945945947
0.11405670000000001,0.1232433,phi_mem_ppc,40%,0.10945945945945947
0.1152806,0.12197635,phi_mem_ppc,30%,0.10945945945945947
0.1164038,0.1208764,phi_mem_ppc,20%,0.10945945945945947
0.11748255,0.11971945,phi_mem_ppc,10%,0.10945945945945947
0.11857,0.11857,phi_mem_ppc,median,0.10945945945945947
0.10013875000000001,0.13731115,phi_mem_ppc,95%,0.11554054054054055
0.10344665,0.13387615,phi_mem_ppc,90%,0.11554054054054055
0.1069484,0.1301843,phi_mem_ppc,80%,0.11554054054054055
0.1091644,0.12774615,phi_mem_ppc,70%,0.11554054054054055
0.10957652,0.12730864,phi_mem_ppc,68%,0.11554054054054055
0.11102,0.12584779999999998,phi_mem_ppc,60%,0.11554054054054055
0.112512,0.1243815,phi_mem_ppc,50%,0.11554054054054055
0.113858,0.1231043,phi_mem_ppc,40%,0.11554054054054055
0.11513925,0.121895,phi_mem_ppc,30%,0.11554054054054055
0.1163166,0.1207144,phi_mem_ppc,20%,0.11554054054054055
0.11740555,0.119538,phi_mem_ppc,10%,0.11554054054054055
0.1183975,0.1183975,phi_mem_ppc,median,0.11554054054054055
0.10005755,0.136374,phi_mem_ppc,95%,0.12162162162162163
0.10331905,0.1331332,phi_mem_ppc,90%,0.12162162162162163
0.1068008,0.129583,phi_mem_ppc,80%,0.12162162162162163
0.10914170000000001,0.1272723,phi_mem_ppc,70%,0.12162162162162163
0.10957372,0.1268668,phi_mem_ppc,68%,0.12162162162162163
0.1109534,0.1254472,phi_mem_ppc,60%,0.12162162162162163
0.11238524999999999,0.12406824999999999,phi_mem_ppc,50%,0.12162162162162163
0.1137827,0.1227383,phi_mem_ppc,40%,0.12162162162162163
0.11501165,0.12155534999999999,phi_mem_ppc,30%,0.12162162162162163
0.11615120000000001,0.1204494,phi_mem_ppc,20%,0.12162162162162163
0.1172431,0.11938934999999999,phi_mem_ppc,10%,0.12162162162162163
0.1182725,0.1182725,phi_mem_ppc,median,0.12162162162162163
0.09947338,0.13663530000000002,phi_mem_ppc,95%,0.1277027027027027
0.10298085,0.13340725,phi_mem_ppc,90%,0.1277027027027027
0.1066029,0.1294092,phi_mem_ppc,80%,0.1277027027027027
0.10888584999999999,0.12717315,phi_mem_ppc,70%,0.1277027027027027
0.10931284,0.12675064,phi_mem_ppc,68%,0.1277027027027027
0.11062079999999999,0.1253752,phi_mem_ppc,60%,0.1277027027027027
0.1120755,0.12385625,phi_mem_ppc,50%,0.1277027027027027
0.1133535,0.1225609,phi_mem_ppc,40%,0.1277027027027027
0.11463465,0.12133305,phi_mem_ppc,30%,0.1277027027027027
0.1158216,0.1201494,phi_mem_ppc,20%,0.1277027027027027
0.116941,0.119081,phi_mem_ppc,10%,0.1277027027027027
0.1180035,0.1180035,phi_mem_ppc,median,0.1277027027027027
0.09983308499999999,0.13638477499999999,phi_mem_ppc,95%,0.1337837837837838
0.10322134999999999,0.1327663,phi_mem_ppc,90%,0.1337837837837838
0.10670879999999999,0.129357,phi_mem_ppc,80%,0.1337837837837838
0.10896170000000001,0.127019,phi_mem_ppc,70%,0.1337837837837838
0.10937536,0.12665347999999998,phi_mem_ppc,68%,0.1337837837837838
0.110724,0.125226,phi_mem_ppc,60%,0.1337837837837838
0.11221975000000001,0.12375375,phi_mem_ppc,50%,0.1337837837837838
0.1135001,0.1224362,phi_mem_ppc,40%,0.1337837837837838
0.1146876,0.12116534999999999,phi_mem_ppc,30%,0.1337837837837838
0.1157576,0.12009679999999999,phi_mem_ppc,20%,0.1337837837837838
0.1168,0.119009,phi_mem_ppc,10%,0.1337837837837838
0.1178925,0.1178925,phi_mem_ppc,median,0.1337837837837838
0.0997535025,0.13603105000000001,phi_mem_ppc,95%,0.13986486486486488
0.10319294999999999,0.13233335,phi_mem_ppc,90%,0.13986486486486488
0.10647279999999999,0.1288666,phi_mem_ppc,80%,0.13986486486486488
0.10863785,0.1266363,phi_mem_ppc,70%,0.13986486486486488
0.10901968000000001,0.12629816,phi_mem_ppc,68%,0.13986486486486488
0.11036979999999999,0.12495020000000001,phi_mem_ppc,60%,0.13986486486486488
0.11178525,0.12338,phi_mem_ppc,50%,0.13986486486486488
0.11315739999999999,0.122064,phi_mem_ppc,40%,0.13986486486486488
0.114297,0.12092834999999999,phi_mem_ppc,30%,0.13986486486486488
0.11550060000000001,0.11982,phi_mem_ppc,20%,0.13986486486486488
0.116617,0.1186929,phi_mem_ppc,10%,0.13986486486486488
0.11766650000000001,0.11766650000000001,phi_mem_ppc,median,0.13986486486486488
0.09903413000000001,0.13528822499999998,phi_mem_ppc,95%,0.14594594594594595
0.10260385,0.1320046,phi_mem_ppc,90%,0.14594594594594595
0.1060157,0.128415,phi_mem_ppc,80%,0.14594594594594595
0.10830585,0.12610745,phi_mem_ppc,70%,0.14594594594594595
0.10874984,0.1256986,phi_mem_ppc,68%,0.14594594594594595
0.110126,0.124291,phi_mem_ppc,60%,0.14594594594594595
0.11161275000000001,0.12294725000000001,phi_mem_ppc,50%,0.14594594594594595
0.1129977,0.1216776,phi_mem_ppc,40%,0.14594594594594595
0.1141876,0.120545,phi_mem_ppc,30%,0.14594594594594595
0.1153236,0.11944339999999999,phi_mem_ppc,20%,0.14594594594594595
0.11638655,0.118454,phi_mem_ppc,10%,0.14594594594594595
0.11741650000000001,0.11741650000000001,phi_mem_ppc,median,0.14594594594594595
0.09924730250000001,0.13456802499999998,phi_mem_ppc,95%,0.15202702702702703
0.1024153,0.13163334999999998,phi_mem_ppc,90%,0.15202702702702703
0.106033,0.1281702,phi_mem_ppc,80%,0.15202702702702703
0.10819755,0.12582010000000002,phi_mem_ppc,70%,0.15202702702702703
0.108615,0.12545831999999998,phi_mem_ppc,68%,0.15202702702702703
0.1099586,0.1241448,phi_mem_ppc,60%,0.15202702702702703
0.11135775,0.12266425,phi_mem_ppc,50%,0.15202702702702703
0.11257270000000001,0.121388,phi_mem_ppc,40%,0.15202702702702703
0.11370465,0.12017475,phi_mem_ppc,30%,0.15202702702702703
0.11480560000000001,0.11905,phi_mem_ppc,20%,0.15202702702702703
0.11587410000000001,0.11799845,phi_mem_ppc,10%,0.15202702702702703
0.11695849999999999,0.11695849999999999,phi_mem_ppc,median,0.15202702702702703
0.09840878,0.13464754999999998,phi_mem_ppc,95%,0.1581081081081081
0.10196184999999999,0.13124865,phi_mem_ppc,90%,0.1581081081081081
0.1055658,0.12787220000000002,phi_mem_ppc,80%,0.1581081081081081
0.10797820000000001,0.125713,phi_mem_ppc,70%,0.1581081081081081
0.10832984,0.125389,phi_mem_ppc,68%,0.1581081081081081
0.1096276,0.12401,phi_mem_ppc,60%,0.1581081081081081
0.11117975,0.122588,phi_mem_ppc,50%,0.1581081081081081
0.1124449,0.1212729,phi_mem_ppc,40%,0.1581081081081081
0.1136353,0.12013335,phi_mem_ppc,30%,0.1581081081081081
0.11469220000000001,0.119042,phi_mem_ppc,20%,0.1581081081081081
0.11576355,0.11791345,phi_mem_ppc,10%,0.1581081081081081
0.1168325,0.1168325,phi_mem_ppc,median,0.1581081081081081
0.09880991750000001,0.13412112499999998,phi_mem_ppc,95%,0.1641891891891892
0.10213894999999999,0.13115725,phi_mem_ppc,90%,0.1641891891891892
0.10557620000000001,0.1275741,phi_mem_ppc,80%,0.1641891891891892
0.1078477,0.12536445000000002,phi_mem_ppc,70%,0.1641891891891892
0.10820388,0.12499832,phi_mem_ppc,68%,0.1641891891891892
0.1095598,0.1237302,phi_mem_ppc,60%,0.1641891891891892
0.11102624999999999,0.12226424999999999,phi_mem_ppc,50%,0.1641891891891892
0.1122884,0.120903,phi_mem_ppc,40%,0.1641891891891892
0.1133826,0.11978535,phi_mem_ppc,30%,0.1641891891891892
0.1145342,0.118619,phi_mem_ppc,20%,0.1641891891891892
0.1155611,0.117598,phi_mem_ppc,10%,0.1641891891891892
0.116502,0.116502,phi_mem_ppc,median,0.1641891891891892
0.09856655,0.13370812499999998,phi_mem_ppc,95%,0.17027027027027028
0.10186625,0.13024334999999998,phi_mem_ppc,90%,0.17027027027027028
0.1053095,0.127182,phi_mem_ppc,80%,0.17027027027027028
0.10750785,0.12495629999999999,phi_mem_ppc,70%,0.17027027027027028
0.10788684,0.12460316,phi_mem_ppc,68%,0.17027027027027028
0.10924,0.1232332,phi_mem_ppc,60%,0.17027027027027028
0.11073474999999999,0.121853,phi_mem_ppc,50%,0.17027027027027028
0.1119647,0.120575,phi_mem_ppc,40%,0.17027027027027028
0.11310295,0.119475,phi_mem_ppc,30%,0.17027027027027028
0.114177,0.1183914,phi_mem_ppc,20%,0.17027027027027028
0.115198,0.11727745,phi_mem_ppc,10%,0.17027027027027028
0.1162505,0.1162505,phi_mem_ppc,median,0.17027027027027028
0.0986720875,0.13434415,phi_mem_ppc,95%,0.17635135135135135
0.1019637,0.13082019999999997,phi_mem_ppc,90%,0.17635135135135135
0.1053903,0.12726110000000002,phi_mem_ppc,80%,0.17635135135135135
0.10751,0.124876,phi_mem_ppc,70%,0.17635135135135135
0.10788084,0.12451163999999999,phi_mem_ppc,68%,0.17635135135135135
0.109149,0.1231704,phi_mem_ppc,60%,0.17635135135135135
0.110543,0.12169825000000001,phi_mem_ppc,50%,0.17635135135135135
0.11186539999999999,0.120451,phi_mem_ppc,40%,0.17635135135135135
0.11301765,0.11929405,phi_mem_ppc,30%,0.17635135135135135
0.114041,0.1181594,phi_mem_ppc,20%,0.17635135135135135
