lower,upper,quantity,interval,growth_rate_hr,condition,replicate,source
5.4413005,6.734863000000001,sav_ppc,70%,1.4771279192381863,glucoseCAA,1.0,This Study
5.4693656,6.710139600000001,sav_ppc,68%,1.4771279192381863,glucoseCAA,1.0,This Study
5.568438,6.6120920000000005,sav_ppc,60%,1.4771279192381863,glucoseCAA,1.0,This Study
5.6683275,6.50037,sav_ppc,50%,1.4771279192381863,glucoseCAA,1.0,This Study
5.760814,6.403759,sav_ppc,40%,1.4771279192381863,glucoseCAA,1.0,This Study
5.8445789999999995,6.3169905,sav_ppc,30%,1.4771279192381863,glucoseCAA,1.0,This Study
5.922884,6.2332860000000005,sav_ppc,20%,1.4771279192381863,glucoseCAA,1.0,This Study
6.0000875,6.156814000000001,sav_ppc,10%,1.4771279192381863,glucoseCAA,1.0,This Study
6.081245,6.081245,sav_ppc,median,1.4771279192381863,glucoseCAA,1.0,This Study
3.94445675,6.508126,sav_ppc,95%,2.2690638773791805,LB,1.0,This Study
4.1745105,6.264968,sav_ppc,90%,2.2690638773791805,LB,1.0,This Study
4.416665,6.018025000000001,sav_ppc,80%,2.2690638773791805,LB,1.0,This Study
4.572304,5.85654,sav_ppc,70%,2.2690638773791805,LB,1.0,This Study
4.5977636,5.827108,sav_ppc,68%,2.2690638773791805,LB,1.0,This Study
4.693258,5.731222000000001,sav_ppc,60%,2.2690638773791805,LB,1.0,This Study
4.7927825,5.6228,sav_ppc,50%,2.2690638773791805,LB,1.0,This Study
4.886678,5.5276,sav_ppc,40%,2.2690638773791805,LB,1.0,This Study
4.9756615,5.446467,sav_ppc,30%,2.2690638773791805,LB,1.0,This Study
5.059254,5.366562,sav_ppc,20%,2.2690638773791805,LB,1.0,This Study
5.138692,5.2894715,sav_ppc,10%,2.2690638773791805,LB,1.0,This Study
5.21549,5.21549,sav_ppc,median,2.2690638773791805,LB,1.0,This Study
2.9077715,5.4446829999999995,sav_ppc,95%,2.272564591054877,LB,2.0,This Study
3.1234815,5.21359,sav_ppc,90%,2.272564591054877,LB,2.0,This Study
3.382439,4.979286,sav_ppc,80%,2.272564591054877,LB,2.0,This Study
3.5391304999999997,4.8253125,sav_ppc,70%,2.272564591054877,LB,2.0,This Study
3.5649,4.799199600000001,sav_ppc,68%,2.272564591054877,LB,2.0,This Study
3.668046,4.697534,sav_ppc,60%,2.272564591054877,LB,2.0,This Study
3.7754175,4.5932474999999995,sav_ppc,50%,2.272564591054877,LB,2.0,This Study
3.868673,4.497376,sav_ppc,40%,2.272564591054877,LB,2.0,This Study
3.9500125,4.4118,sav_ppc,30%,2.272564591054877,LB,2.0,This Study
4.033536,4.331408000000001,sav_ppc,20%,2.272564591054877,LB,2.0,This Study
4.1088,4.255404,sav_ppc,10%,2.272564591054877,LB,2.0,This Study
4.1821850000000005,4.1821850000000005,sav_ppc,median,2.272564591054877,LB,2.0,This Study
6.8855255,7.6348227500000005,sav,95%,0.3537727536958663,acetate,1.0,This Study
6.9514165,7.566372,sav,90%,0.3537727536958663,acetate,1.0,This Study
7.021631,7.492673000000001,sav,80%,0.3537727536958663,acetate,1.0,This Study
7.0688125,7.444669,sav,70%,0.3537727536958663,acetate,1.0,This Study
7.0772068,7.4364328,sav,68%,0.3537727536958663,acetate,1.0,This Study
7.106928,7.408474,sav,60%,0.3537727536958663,acetate,1.0,This Study
7.1378275,7.376307499999999,sav,50%,0.3537727536958663,acetate,1.0,This Study
7.164288,7.350238,sav,40%,0.3537727536958663,acetate,1.0,This Study
7.18907,7.3249935,sav,30%,0.3537727536958663,acetate,1.0,This Study
7.2124559999999995,7.301154,sav,20%,0.3537727536958663,acetate,1.0,This Study
7.2348655,7.2790235,sav,10%,0.3537727536958663,acetate,1.0,This Study
7.25711,7.25711,sav,median,0.3537727536958663,acetate,1.0,This Study
7.0396155,7.80568275,sav,95%,0.3851859922434523,acetate,2.0,This Study
7.1069865,7.735702,sav,90%,0.3851859922434523,acetate,2.0,This Study
7.178762,7.660353000000001,sav,80%,0.3851859922434523,acetate,2.0,This Study
7.2270025,7.6112705,sav,70%,0.3851859922434523,acetate,2.0,This Study
7.2355868,7.6028544,sav,68%,0.3851859922434523,acetate,2.0,This Study
7.26597,7.574263999999999,sav,60%,0.3851859922434523,acetate,2.0,This Study
7.2975675,7.54138,sav,50%,0.3851859922434523,acetate,2.0,This Study
7.324618,7.514728,sav,40%,0.3851859922434523,acetate,2.0,This Study
7.3499565,7.48892,sav,30%,0.3851859922434523,acetate,2.0,This Study
7.373866,7.46455,sav,20%,0.3851859922434523,acetate,2.0,This Study
7.3967754999999995,7.4419235,sav,10%,0.3851859922434523,acetate,2.0,This Study
7.4195150000000005,7.4195150000000005,sav,median,0.3851859922434523,acetate,2.0,This Study
6.37714575,7.0711224999999995,sav,95%,0.608803125485576,sorbitol,2.0,This Study
6.4381765,7.007722,sav,90%,0.608803125485576,sorbitol,2.0,This Study
6.503202,6.939463000000001,sav,80%,0.608803125485576,sorbitol,2.0,This Study
6.5468925,6.894999,sav,70%,0.608803125485576,sorbitol,2.0,This Study
6.5546768,6.8873812,sav,68%,0.608803125485576,sorbitol,2.0,This Study
6.5822,6.861484,sav,60%,0.608803125485576,sorbitol,2.0,This Study
6.6108175000000005,6.8316875,sav,50%,0.608803125485576,sorbitol,2.0,This Study
6.635328,6.807545,sav,40%,0.608803125485576,sorbitol,2.0,This Study
6.6582765,6.7841635,sav,30%,0.608803125485576,sorbitol,2.0,This Study
6.679936,6.762084,sav,20%,0.608803125485576,sorbitol,2.0,This Study
6.7006955,6.741589,sav,10%,0.608803125485576,sorbitol,2.0,This Study
6.72129,6.72129,sav,median,0.608803125485576,sorbitol,2.0,This Study
6.41337575,7.1112925,sav,95%,0.6189821322967243,sorbitol,1.0,This Study
6.474747,7.047532,sav,90%,0.6189821322967243,sorbitol,1.0,This Study
6.5401419999999995,6.978883000000001,sav,80%,0.6189821322967243,sorbitol,1.0,This Study
6.584084,6.9341705000000005,sav,70%,0.6189821322967243,sorbitol,1.0,This Study
6.5919068,6.926502800000001,sav,68%,0.6189821322967243,sorbitol,1.0,This Study
6.6195900000000005,6.9004639999999995,sav,60%,0.6189821322967243,sorbitol,1.0,This Study
6.6483775000000005,6.8704975,sav,50%,0.6189821322967243,sorbitol,1.0,This Study
6.673020999999999,6.846215,sav,40%,0.6189821322967243,sorbitol,1.0,This Study
6.6961,6.8227035,sav,30%,0.6189821322967243,sorbitol,1.0,This Study
6.717886,6.8005,sav,20%,0.6189821322967243,sorbitol,1.0,This Study
6.7387555,6.779889,sav,10%,0.6189821322967243,sorbitol,1.0,This Study
6.759475,6.759475,sav,median,0.6189821322967243,sorbitol,1.0,This Study
6.37839575,7.0725125,sav,95%,0.6323276248776727,glycerol,2.0,This Study
6.439437,7.009102,sav,90%,0.6323276248776727,glycerol,2.0,This Study
6.504473,6.940823000000001,sav,80%,0.6323276248776727,glycerol,2.0,This Study
6.5481825,6.896359,sav,70%,0.6323276248776727,glycerol,2.0,This Study
6.5559568,6.8887328000000005,sav,68%,0.6323276248776727,glycerol,2.0,This Study
6.58349,6.862832,sav,60%,0.6323276248776727,glycerol,2.0,This Study
6.6121175,6.83303,sav,50%,0.6323276248776727,glycerol,2.0,This Study
6.6366309999999995,6.808885,sav,40%,0.6323276248776727,glycerol,2.0,This Study
6.6595865,6.7854935,sav,30%,0.6323276248776727,glycerol,2.0,This Study
6.681252,6.763414,sav,20%,0.6323276248776727,glycerol,2.0,This Study
6.70201,6.7429135,sav,10%,0.6323276248776727,glycerol,2.0,This Study
6.722614999999999,6.722614999999999,sav,median,0.6323276248776727,glycerol,2.0,This Study
6.52384575,7.2337825,sav,95%,0.6737871653670506,glycerol,1.0,This Study
6.586277,7.168932,sav,90%,0.6737871653670506,glycerol,1.0,This Study
6.652801999999999,7.099093000000001,sav,80%,0.6737871653670506,glycerol,1.0,This Study
6.697502500000001,7.053619,sav,70%,0.6737871653670506,glycerol,1.0,This Study
6.7054568,7.0458128,sav,68%,0.6737871653670506,glycerol,1.0,This Study
6.73362,7.019323999999999,sav,60%,0.6737871653670506,glycerol,1.0,This Study
6.7628975,6.9888475,sav,50%,0.6737871653670506,glycerol,1.0,This Study
6.787968,6.964145,sav,40%,0.6737871653670506,glycerol,1.0,This Study
6.81144,6.9402235,sav,30%,0.6737871653670506,glycerol,1.0,This Study
6.833602,6.91764,sav,20%,0.6737871653670506,glycerol,1.0,This Study
6.8548355,6.8966735,sav,10%,0.6737871653670506,glycerol,1.0,This Study
6.875909999999999,6.875909999999999,sav,median,0.6737871653670506,glycerol,1.0,This Study
6.8077255,7.54855275,sav,95%,0.7000527193406471,glucose+acetate,2.0,This Study
6.8728765,7.480882,sav,90%,0.7000527193406471,glucose+acetate,2.0,This Study
6.942292,7.408013,sav,80%,0.7000527193406471,glucose+acetate,2.0,This Study
6.988932500000001,7.360549,sav,70%,0.7000527193406471,glucose+acetate,2.0,This Study
6.9972368,7.352412800000001,sav,68%,0.7000527193406471,glucose+acetate,2.0,This Study
7.02662,7.324764,sav,60%,0.7000527193406471,glucose+acetate,2.0,This Study
