strain,carbon_source,date,inducer_conc,replicate,entry,name,synonyms,intensity,norm_intensity,common_intensity,mass_frac,rel_mass_frac,localization
wildtype,glycerol,2024-05-22,0,1,ACRD_ECOLI,acrD,yffA b2470 JW2454,3.18e-06,0.0815157612051959,71452000.0,3.1823728017295416e-06,0.0,phi_mem
wildtype,sorbitol,2024-05-22,0,1,ACRD_ECOLI,acrD,yffA b2470 JW2454,1.14e-05,0.285911821340473,71452000.0,1.1398038597913136e-05,0.0,phi_mem
wildtype,glucoseCAA,2024-05-24,0,1,ACRD_ECOLI,acrD,yffA b2470 JW2454,4.74e-05,1.27700275698372,71452000.0,4.739728555343794e-05,0.0,phi_mem
wildtype,LB,2024-05-24,0,1,ACRD_ECOLI,acrD,yffA b2470 JW2454,9.48e-05,2.57072723843288,71452000.0,9.484967061263029e-05,0.0,phi_mem
wildtype,acetate,2024-05-25,0,1,ACRD_ECOLI,acrD,yffA b2470 JW2454,9.45e-06,0.243733652777054,71452000.0,9.451361106934214e-06,0.0,phi_mem
meshI,glucose,2024-05-23,0,1,ACRD_ECOLI,acrD,yffA b2470 JW2454,2.81e-05,0.78919367606976,71452000.0,2.810682931525266e-05,0.0,phi_mem
meshI,glucose,2024-05-23,100,1,ACRD_ECOLI,acrD,yffA b2470 JW2454,3.26e-05,0.901879051921291,71452000.0,3.255141157867053e-05,0.0,phi_mem
relA,glucose,2024-05-23,0,1,ACRD_ECOLI,acrD,yffA b2470 JW2454,3.17e-05,0.853211065031765,71452000.0,3.1674247762260315e-05,0.0,phi_mem
relA,glucose,2024-05-23,2,1,ACRD_ECOLI,acrD,yffA b2470 JW2454,3.46e-05,0.885581021803408,71452000.0,3.4601331233974e-05,0.0,phi_mem
relA,glucose,2024-05-25,4,1,ACRD_ECOLI,acrD,yffA b2470 JW2454,6.1e-05,1.50162095292039,71452000.0,6.1026685824626e-05,0.0,phi_mem
lacZ,glucose,2024-05-25,0,1,ACRD_ECOLI,acrD,yffA b2470 JW2454,3.75e-05,0.999165982662584,71452000.0,3.7507861647186576e-05,0.0,phi_mem
lacZ,glucose,2024-05-28,1,1,ACRD_ECOLI,acrD,yffA b2470 JW2454,3.19e-05,0.835282733995614,71452000.0,3.1876960716133354e-05,0.0,phi_mem
lacZ,glucose,2024-05-29,3,1,ACRD_ECOLI,acrD,yffA b2470 JW2454,3.13e-05,0.818747376239301,71452000.0,3.126573515361724e-05,0.0,phi_mem
lacZ,glucose,2024-05-25,5,1,ACRD_ECOLI,acrD,yffA b2470 JW2454,4.01e-05,1.05570906813748,71452000.0,4.010611643918358e-05,0.0,phi_mem
wildtype,glucose,2024-05-22,0,1,ACTP_ECOLI,actP,yjcG b4067 JW4028,4.15e-06,0.789862904355586,10485100.0,4.153933128225839e-06,7.493503e-05,phi_mem
wildtype,glucose+acetate,2024-05-22,0,1,ACTP_ECOLI,actP,yjcG b4067 JW4028,5.12e-06,0.946073749030937,10485100.0,5.124507326674045e-06,8.97548984449207e-05,phi_mem
wildtype,glycerol,2024-05-22,0,1,ACTP_ECOLI,actP,yjcG b4067 JW4028,8.16e-06,1.42482835631538,10485100.0,8.1626317220891e-06,0.0001351747943049,phi_mem
wildtype,sorbitol,2024-05-22,0,1,ACTP_ECOLI,actP,yjcG b4067 JW4028,1.13e-05,1.93999260023824,10485100.0,1.1348965397758564e-05,0.0001840489063317,phi_mem
wildtype,glucoseCAA,2024-05-24,0,1,ACTP_ECOLI,actP,yjcG b4067 JW4028,5.44e-06,0.999718714483241,10485100.0,5.444996999483417e-06,9.48442463220653e-05,phi_mem
wildtype,LB,2024-05-24,0,1,ACTP_ECOLI,actP,yjcG b4067 JW4028,1.18e-05,2.1778260528796,10485100.0,1.1791286831120844e-05,0.0002066123876781,phi_mem
wildtype,acetate,2024-05-25,0,1,ACTP_ECOLI,actP,yjcG b4067 JW4028,1.49e-05,2.61567374512532,10485100.0,1.4884032846345335e-05,0.0002481514063774,phi_mem
meshI,glucose,2024-05-23,0,1,ACTP_ECOLI,actP,yjcG b4067 JW4028,3.38e-06,0.64692288956854,10485100.0,3.380951686671799e-06,6.13741775568706e-05,phi_mem
meshI,glucose,2024-05-23,100,1,ACTP_ECOLI,actP,yjcG b4067 JW4028,4.81e-06,0.907260832490547,10485100.0,4.805204512683532e-06,8.607268087361382e-05,phi_mem
relA,glucose,2024-05-23,0,1,ACTP_ECOLI,actP,yjcG b4067 JW4028,5.18e-06,0.951718459587774,10485100.0,5.184614985143565e-06,9.02904173971153e-05,phi_mem
relA,glucose,2024-05-23,2,1,ACTP_ECOLI,actP,yjcG b4067 JW4028,5.12e-06,0.892709337922256,10485100.0,5.118382900877008e-06,8.46921670198719e-05,phi_mem
relA,glucose,2024-05-25,4,1,ACTP_ECOLI,actP,yjcG b4067 JW4028,2.58e-06,0.433417339343083,10485100.0,2.584782084255039e-06,4.111870698965357e-05,phi_mem
lacZ,glucose,2024-05-25,0,1,ACTP_ECOLI,actP,yjcG b4067 JW4028,2.4e-06,0.435371797777868,10485100.0,2.3982980045243205e-06,4.130412828319293e-05,phi_mem
lacZ,glucose,2024-05-28,1,1,ACTP_ECOLI,actP,yjcG b4067 JW4028,2.19e-06,0.390843044049382,10485100.0,2.188789402644378e-06,3.707964390988384e-05,phi_mem
lacZ,glucose,2024-05-29,3,1,ACTP_ECOLI,actP,yjcG b4067 JW4028,2.2e-06,0.392821515805512,10485100.0,2.2012642372936733e-06,3.7267343369603e-05,phi_mem
lacZ,glucose,2024-05-25,5,1,ACTP_ECOLI,actP,yjcG b4067 JW4028,2.26e-06,0.405268915929257,10485100.0,2.25926846436968e-06,3.844823982207765e-05,phi_mem
wildtype,glucose,2024-05-22,0,1,AGP_ECOLI,agp,b1002 JW0987,2.78e-06,0.45114489900247,12271200.0,2.776759662868567e-06,2.4735589e-05,phi_peri
wildtype,glucose+acetate,2024-05-22,0,1,AGP_ECOLI,agp,b1002 JW0987,3.39e-06,0.534540092426626,12271200.0,3.388612185561413e-06,2.9308020681432205e-05,phi_peri
wildtype,glycerol,2024-05-22,0,1,AGP_ECOLI,agp,b1002 JW0987,1.05e-05,1.57076807037335,12271200.0,1.0531595618877546e-05,8.612282548021348e-05,phi_peri
wildtype,sorbitol,2024-05-22,0,1,AGP_ECOLI,agp,b1002 JW0987,1.09e-05,1.58617769017007,12271200.0,1.0859816657051315e-05,8.696771150858425e-05,phi_peri
wildtype,glucoseCAA,2024-05-24,0,1,AGP_ECOLI,agp,b1002 JW0987,3.3e-06,0.518008988019352,12271200.0,3.301958233719111e-06,2.840164535670049e-05,phi_peri
wildtype,LB,2024-05-24,0,1,AGP_ECOLI,agp,b1002 JW0987,7.01e-06,1.10608544925555,12271200.0,7.008759404874279e-06,6.064498375612987e-05,phi_peri
wildtype,acetate,2024-05-25,0,1,AGP_ECOLI,agp,b1002 JW0987,2.13e-05,3.20258357956417,12271200.0,2.132809059297375e-05,0.0001755927892289,phi_peri
meshI,glucose,2024-05-23,0,1,AGP_ECOLI,agp,b1002 JW0987,3.79e-06,0.619487576863183,12271200.0,3.7890776568112015e-06,3.396556211934408e-05,phi_peri
meshI,glucose,2024-05-23,100,1,AGP_ECOLI,agp,b1002 JW0987,4.35e-06,0.702087314516635,12271200.0,4.351964035872277e-06,3.84943801700884e-05,phi_peri
relA,glucose,2024-05-23,0,1,AGP_ECOLI,agp,b1002 JW0987,4.61e-06,0.722777719105,12271200.0,4.6081566231921554e-06,3.962880360094871e-05,phi_peri
relA,glucose,2024-05-23,2,1,AGP_ECOLI,agp,b1002 JW0987,5.5e-06,0.819119738130511,12271200.0,5.496478620245552e-06,4.491109004886037e-05,phi_peri
relA,glucose,2024-05-25,4,1,AGP_ECOLI,agp,b1002 JW0987,9.78e-06,1.40105754458121,12271200.0,9.778856739703112e-06,7.681785533813659e-05,phi_peri
lacZ,glucose,2024-05-25,0,1,AGP_ECOLI,agp,b1002 JW0987,4.33e-06,0.670996112816066,12271200.0,4.325908356559405e-06,3.678969684443882e-05,phi_peri
lacZ,glucose,2024-05-28,1,1,AGP_ECOLI,agp,b1002 JW0987,4.94e-06,0.753054961710867,12271200.0,4.935631441864157e-06,4.1288858786783625e-05,phi_peri
lacZ,glucose,2024-05-29,3,1,AGP_ECOLI,agp,b1002 JW0987,3.4e-06,0.517877771693379,12271200.0,3.39639848920403e-06,2.839445096501717e-05,phi_peri
lacZ,glucose,2024-05-25,5,1,AGP_ECOLI,agp,b1002 JW0987,4.23e-06,0.648597220833943,12271200.0,4.231692353205415e-06,3.556159964695249e-05,phi_peri
wildtype,glucose,2024-05-22,0,2,AGP_ECOLI,agp,b1002 JW0987,6.77e-06,0.879975474164514,16328000.0,6.769184408587819e-06,2.4735589e-05,phi_peri
wildtype,glucose+acetate,2024-05-22,0,2,AGP_ECOLI,agp,b1002 JW0987,7.24e-06,0.907788594572155,16328000.0,7.2356791651188435e-06,2.5517399329275494e-05,phi_peri
wildtype,glycerol,2024-05-22,0,2,AGP_ECOLI,agp,b1002 JW0987,1.22e-05,1.40073267036997,16328000.0,1.215273277114744e-05,3.937376512230672e-05,phi_peri
wildtype,sorbitol,2024-05-22,0,2,AGP_ECOLI,agp,b1002 JW0987,1.52e-05,1.71979049029459,16328000.0,1.5241688042278564e-05,4.834229132854501e-05,phi_peri
wildtype,glucoseCAA,2024-05-24,0,2,AGP_ECOLI,agp,b1002 JW0987,2.55e-06,0.318874227492425,16328000.0,2.5506274584455394e-06,8.963365531788135e-06,phi_peri
wildtype,LB,2024-05-24,0,2,AGP_ECOLI,agp,b1002 JW0987,7.93e-06,1.0174343160597,16328000.0,7.933932661214889e-06,2.8599475571115547e-05,phi_peri
wildtype,acetate,2024-05-25,0,2,AGP_ECOLI,agp,b1002 JW0987,3.3e-05,3.86966237014826,16328000.0,3.297638261884319e-05,0.0001087739155999,phi_peri
meshI,glucose,2024-05-23,0,2,AGP_ECOLI,agp,b1002 JW0987,4.3e-06,0.552032305854208,16328000.0,4.295401947052279e-06,1.5517300917160754e-05,phi_peri
meshI,glucose,2024-05-23,100,2,AGP_ECOLI,agp,b1002 JW0987,3.42e-06,0.434537903788364,16328000.0,3.416871505841814e-06,1.2214602916332008e-05,phi_peri
