value,kde,parameter,strain,carbon_source,overexpression,inducer_conc_ng_mL
0.054333179999999995,0.06720438046777175,phi_peri,lpp14,acetate,none,0.0
0.054735648,0.057610400914872247,phi_peri,lpp14,acetate,none,0.0
0.055138115999999994,0.04785082087311429,phi_peri,lpp14,acetate,none,0.0
0.055540584,0.037701920364624976,phi_peri,lpp14,acetate,none,0.0
0.055943052,0.028630422091053247,phi_peri,lpp14,acetate,none,0.0
0.056345519999999996,0.02094040873954629,phi_peri,lpp14,acetate,none,0.0
0.056747988,0.014588783052731837,phi_peri,lpp14,acetate,none,0.0
0.057150455999999995,0.010121330535468964,phi_peri,lpp14,acetate,none,0.0
0.057552924,0.00679317823421213,phi_peri,lpp14,acetate,none,0.0
0.057955391999999994,0.0045292678319213756,phi_peri,lpp14,acetate,none,0.0
0.05835786,0.003186908577802177,phi_peri,lpp14,acetate,none,0.0
0.058760327999999994,0.002535238681988357,phi_peri,lpp14,acetate,none,0.0
0.059162796,0.001832594534329733,phi_peri,lpp14,acetate,none,0.0
0.059565264,0.0009514177934214367,phi_peri,lpp14,acetate,none,0.0
0.059967731999999996,0.0004612955912317483,phi_peri,lpp14,acetate,none,0.0
0.0603702,0.00027465374901763457,phi_peri,lpp14,acetate,none,0.0
0.060772667999999995,0.0001254608625901232,phi_peri,lpp14,acetate,none,0.0
0.061175136,4.042309350182795e-05,phi_peri,lpp14,acetate,none,0.0
0.061577603999999994,6.437534379676171e-05,phi_peri,lpp14,acetate,none,0.0
0.061980072,0.00010888322631425158,phi_peri,lpp14,acetate,none,0.0
0.06238253999999999,0.00010818804418953101,phi_peri,lpp14,acetate,none,0.0
0.06278500799999999,0.00011100246012089548,phi_peri,lpp14,acetate,none,0.0
0.06318747599999999,7.32975540358114e-05,phi_peri,lpp14,acetate,none,0.0
0.063589944,1.953733534779265e-05,phi_peri,lpp14,acetate,none,0.0
0.063992412,1.9289165729754574e-06,phi_peri,lpp14,acetate,none,0.0
0.06439488,6.983422358255178e-08,phi_peri,lpp14,acetate,none,0.0
0.06479734799999999,9.260897623829338e-10,phi_peri,lpp14,acetate,none,0.0
0.065199816,4.497965103830464e-12,phi_peri,lpp14,acetate,none,0.0
0.065602284,8.00113700576355e-15,phi_peri,lpp14,acetate,none,0.0
0.066004752,5.212659450526248e-18,phi_peri,lpp14,acetate,none,0.0
0.06640721999999999,1.2437667818755288e-21,phi_peri,lpp14,acetate,none,0.0
0.06680968799999999,1.086902286162982e-25,phi_peri,lpp14,acetate,none,0.0
0.067212156,3.4786761359751046e-30,phi_peri,lpp14,acetate,none,0.0
0.067614624,4.0776452549942736e-35,phi_peri,lpp14,acetate,none,0.0
0.068017092,1.750559312600342e-40,phi_peri,lpp14,acetate,none,0.0
0.06841955999999999,2.7524292645266175e-46,phi_peri,lpp14,acetate,none,0.0
0.068822028,1.5849933713072245e-52,phi_peri,lpp14,acetate,none,0.0
0.069224496,3.342802211233539e-59,phi_peri,lpp14,acetate,none,0.0
0.069626964,2.5820571960821685e-66,phi_peri,lpp14,acetate,none,0.0
0.07002943199999999,7.304541867831143e-74,phi_peri,lpp14,acetate,none,0.0
0.07043189999999999,7.568190480463858e-82,phi_peri,lpp14,acetate,none,0.0
0.070834368,2.8718587287808393e-90,phi_peri,lpp14,acetate,none,0.0
0.071236836,3.9912234060919005e-99,phi_peri,lpp14,acetate,none,0.0
0.071639304,2.0315192883810278e-108,phi_peri,lpp14,acetate,none,0.0
0.07204177199999999,3.787109037413237e-118,phi_peri,lpp14,acetate,none,0.0
0.07244424,2.5856314143696963e-128,phi_peri,lpp14,acetate,none,0.0
0.072846708,6.4654293269168e-139,phi_peri,lpp14,acetate,none,0.0
0.073249176,5.921068276429612e-150,phi_peri,lpp14,acetate,none,0.0
0.07365164399999999,1.985979293783381e-161,phi_peri,lpp14,acetate,none,0.0
0.07405411199999999,2.4396150858779597e-173,phi_peri,lpp14,acetate,none,0.0
0.07445658,1.0975892664191156e-185,phi_peri,lpp14,acetate,none,0.0
0.074859048,1.8085492478610095e-198,phi_peri,lpp14,acetate,none,0.0
0.075261516,1.0914221775873493e-211,phi_peri,lpp14,acetate,none,0.0
0.07566398399999999,2.4122768904531318e-225,phi_peri,lpp14,acetate,none,0.0
0.07606645199999999,1.9526908231610522e-239,phi_peri,lpp14,acetate,none,0.0
0.07646892,5.789109458879073e-254,phi_peri,lpp14,acetate,none,0.0
0.076871388,6.285820630745364e-269,phi_peri,lpp14,acetate,none,0.0
0.07727385599999999,2.4996784945776007e-284,phi_peri,lpp14,acetate,none,0.0
0.07767632399999999,3.6406444786696144e-300,phi_peri,lpp14,acetate,none,0.0
0.078078792,1.94197813e-316,phi_peri,lpp14,acetate,none,0.0
0.07848126,0.0,phi_peri,lpp14,acetate,none,0.0
0.078883728,0.0,phi_peri,lpp14,acetate,none,0.0
0.07928619599999999,0.0,phi_peri,lpp14,acetate,none,0.0
0.07968866399999999,0.0,phi_peri,lpp14,acetate,none,0.0
0.080091132,0.0,phi_peri,lpp14,acetate,none,0.0
0.0804936,0.0,phi_peri,lpp14,acetate,none,0.0
0.08089606799999999,0.0,phi_peri,lpp14,acetate,none,0.0
0.08129853599999999,0.0,phi_peri,lpp14,acetate,none,0.0
0.081701004,0.0,phi_peri,lpp14,acetate,none,0.0
0.082103472,0.0,phi_peri,lpp14,acetate,none,0.0
0.08250594,0.0,phi_peri,lpp14,acetate,none,0.0
