source,growth_rate_hr,quantity,interval,lower,upper
Mori et al. 2021,0.5,ms_rho_mem_inner,median,2.203165,2.203165
Mori et al. 2021,0.55,ms_rho_mem_inner,95%,1.909688,2.6840332499999997
Mori et al. 2021,0.55,ms_rho_mem_inner,75%,2.04082125,2.4825250000000003
Mori et al. 2021,0.55,ms_rho_mem_inner,25%,2.1850825,2.305355
Mori et al. 2021,0.55,ms_rho_mem_inner,median,2.2458299999999998,2.2458299999999998
Mori et al. 2021,0.71,ms_rho_mem_inner,95%,1.859526,2.4491525
Mori et al. 2021,0.71,ms_rho_mem_inner,75%,1.96827,2.30246875
Mori et al. 2021,0.71,ms_rho_mem_inner,25%,2.079875,2.1733675
Mori et al. 2021,0.71,ms_rho_mem_inner,median,2.12573,2.12573
Mori et al. 2021,0.72,ms_rho_mem_inner,95%,1.88665875,2.4787075
Mori et al. 2021,0.72,ms_rho_mem_inner,75%,1.9960499999999999,2.3323962500000004
Mori et al. 2021,0.72,ms_rho_mem_inner,25%,2.10844875,2.201595
Mori et al. 2021,0.72,ms_rho_mem_inner,median,2.154645,2.154645
Mori et al. 2021,0.81,ms_rho_mem_inner,95%,1.78443,2.2880492500000003
