carbon_source,replicate,sig2_lower,sig2_upper,sig1_lower,sig1_upper,mean,quantity,strain
glucose+acetate,1,161.19547674999998,142.89350000000002,179.12155,152.1636,170.10744,rho_peri,wildtype
glucose+acetate,2,158.52516649999998,138.621825,177.7826,148.86984,168.17816,rho_peri,wildtype
glucoseCAA,1,130.931192075,112.60130000000001,151.103275,121.584,140.05236,rho_peri,wildtype
glucoseCAA,2,105.017429875,92.1503875,118.66510000000001,98.572124,111.51227999999999,rho_peri,wildtype
glycerol,1,243.57983049999999,212.20795,273.98435000000006,228.42784,258.62755999999996,rho_peri,wildtype
glycerol,2,247.38594575000002,214.34875,279.06595000000004,231.36108,263.13824,rho_peri,wildtype
sorbitol,1,252.61911225,218.64737499999998,285.099475,236.09308,268.84944,rho_peri,wildtype
sorbitol,2,252.07529849999997,217.83374999999998,284.880025,235.52156,268.40696,rho_peri,wildtype
LB,1,9.08695913,6.86936825,11.902332500000002,7.8663224000000005,10.26338,sigma_mem,wildtype
LB,2,7.097984415000001,5.363233,9.301546,6.1427672,8.0203268,sigma_mem,wildtype
acetate,1,6.5025556175000006,5.4103085,7.535978249999999,5.9688267999999995,7.0343572000000005,sigma_mem,wildtype
acetate,2,6.601121405,5.51560775,7.618929,6.0780736,7.1251836,sigma_mem,wildtype
glucose,1,6.7649603925,5.99724,7.51766825,6.3875092,7.1386736,sigma_mem,wildtype
glucose,2,8.11013572,7.197306,9.005437,7.6590808,8.553342800000001,sigma_mem,wildtype
glucose+acetate,1,7.4034216399999995,6.562837,8.226725,6.9885912,7.8127424,sigma_mem,wildtype
glucose+acetate,2,7.416416325,6.485268,8.31733575,6.9647004,7.868009600000001,sigma_mem,wildtype
glucoseCAA,1,6.57839902,5.6574355,7.591933750000001,6.10876,7.0366528,sigma_mem,wildtype
glucoseCAA,2,5.7104101,5.01075125,6.452485500000001,5.3599396,6.063594,sigma_mem,wildtype
glycerol,1,7.284091569999999,6.34594825,8.193330000000001,6.8309736,7.7340784,sigma_mem,wildtype
glycerol,2,7.414932595,6.424703,8.36447875,6.9346308,7.8870704,sigma_mem,wildtype
sorbitol,1,6.9585397425,6.022765,7.853241000000001,6.503324,7.4056184,sigma_mem,wildtype
sorbitol,2,6.83706876,5.908322,7.72682075,6.3880728,7.2800356,sigma_mem,wildtype
