lower,upper,quantity,interval,strain,carbon_source,overexpression,inducer_conc,inducer,temperature
0.0643616875,0.069940675,phi_peri,25%,malE-rbsB-fliC-KO,acetate,rbsB,10.0,ctc,37.0
0.06708415,0.06708415,phi_peri,median,malE-rbsB-fliC-KO,acetate,rbsB,10.0,ctc,37.0
0.08626022,0.12322029999999999,phi_peri,95%,malE-rbsB-fliC-KO,acetate,rbsB,50.0,ctc,37.0
0.09222630000000001,0.11581324999999999,phi_peri,75%,malE-rbsB-fliC-KO,acetate,rbsB,50.0,ctc,37.0
0.10048362500000001,0.1064465,phi_peri,25%,malE-rbsB-fliC-KO,acetate,rbsB,50.0,ctc,37.0
0.1035285,0.1035285,phi_peri,median,malE-rbsB-fliC-KO,acetate,rbsB,50.0,ctc,37.0
0.09053480500000001,0.12835444999999998,phi_peri,95%,malE-rbsB-fliC-KO,acetate,rbsB,100.0,ctc,37.0
0.09587264999999999,0.120201125,phi_peri,75%,malE-rbsB-fliC-KO,acetate,rbsB,100.0,ctc,37.0
0.104278,0.11044812500000001,phi_peri,25%,malE-rbsB-fliC-KO,acetate,rbsB,100.0,ctc,37.0
0.107373,0.107373,phi_peri,median,malE-rbsB-fliC-KO,acetate,rbsB,100.0,ctc,37.0
