value,kde,parameter,model,volume_scale
173.4143160535117,0.0026266008034126808,rho_prot,const_rho_mem,smk
174.4031262541806,0.0028145267016203178,rho_prot,const_rho_mem,smk
175.39193645484949,0.0030135930557292734,rho_prot,const_rho_mem,smk
176.3807466555184,0.0032256361595067967,rho_prot,const_rho_mem,smk
177.36955685618727,0.003450806831066617,rho_prot,const_rho_mem,smk
178.3583670568562,0.0036870835691936036,rho_prot,const_rho_mem,smk
179.34717725752506,0.003930348282292858,rho_prot,const_rho_mem,smk
180.33598745819398,0.004174878764023626,rho_prot,const_rho_mem,smk
181.32479765886285,0.004414289346742044,rho_prot,const_rho_mem,smk
182.31360785953177,0.0046430647253325194,rho_prot,const_rho_mem,smk
183.30241806020067,0.004858476931438969,rho_prot,const_rho_mem,smk
184.29122826086956,0.005061955500012835,rho_prot,const_rho_mem,smk
185.28003846153845,0.005258613932198675,rho_prot,const_rho_mem,smk
186.26884866220735,0.005454394076136286,rho_prot,const_rho_mem,smk
187.25765886287624,0.0056520509837280335,rho_prot,const_rho_mem,smk
188.24646906354513,0.005848596338679974,rho_prot,const_rho_mem,smk
189.23527926421406,0.006036298221481559,rho_prot,const_rho_mem,smk
190.22408946488292,0.0062069047015581285,rho_prot,const_rho_mem,smk
191.21289966555184,0.006356389741839189,rho_prot,const_rho_mem,smk
192.2017098662207,0.006487321841690445,rho_prot,const_rho_mem,smk
193.19052006688963,0.006607941218199153,rho_prot,const_rho_mem,smk
194.17933026755853,0.0067291458970769715,rho_prot,const_rho_mem,smk
195.16814046822742,0.006861047674307715,rho_prot,const_rho_mem,smk
196.15695066889631,0.007009875446264433,rho_prot,const_rho_mem,smk
197.1457608695652,0.007175433450265806,rho_prot,const_rho_mem,smk
198.1345710702341,0.007349922006806366,rho_prot,const_rho_mem,smk
199.123381270903,0.007519727649142625,rho_prot,const_rho_mem,smk
200.11219147157192,0.007671029937517601,rho_prot,const_rho_mem,smk
201.10100167224078,0.007797265827000839,rho_prot,const_rho_mem,smk
202.0898118729097,0.00790363073066583,rho_prot,const_rho_mem,smk
203.07862207357857,0.008004139553404564,rho_prot,const_rho_mem,smk
204.0674322742475,0.008111535273284282,rho_prot,const_rho_mem,smk
205.05624247491636,0.008226387458174866,rho_prot,const_rho_mem,smk
206.04505267558528,0.008333601879037493,rho_prot,const_rho_mem,smk
207.03386287625418,0.008409729975483048,rho_prot,const_rho_mem,smk
208.02267307692307,0.008436451151746564,rho_prot,const_rho_mem,smk
209.01148327759196,0.008411120565683435,rho_prot,const_rho_mem,smk
210.00029347826086,0.008347933218276734,rho_prot,const_rho_mem,smk
210.98910367892975,0.008270305655578892,rho_prot,const_rho_mem,smk
211.97791387959865,0.008200472969131496,rho_prot,const_rho_mem,smk
212.96672408026757,0.008152463278060554,rho_prot,const_rho_mem,smk
213.95553428093643,0.008130890246712557,rho_prot,const_rho_mem,smk
214.94434448160536,0.008134111505194755,rho_prot,const_rho_mem,smk
215.93315468227422,0.008158586115749173,rho_prot,const_rho_mem,smk
216.92196488294314,0.00820173564704727,rho_prot,const_rho_mem,smk
217.91077508361204,0.008262296200728802,rho_prot,const_rho_mem,smk
218.89958528428093,0.008339040957553471,rho_prot,const_rho_mem,smk
219.88839548494983,0.00842976953676703,rho_prot,const_rho_mem,smk
220.87720568561872,0.008531814517186022,rho_prot,const_rho_mem,smk
221.8660158862876,0.008643505189448269,rho_prot,const_rho_mem,smk
222.8548260869565,0.008764795947037546,rho_prot,const_rho_mem,smk
223.84363628762543,0.008895928877528735,rho_prot,const_rho_mem,smk
224.8324464882943,0.009034952299232697,rho_prot,const_rho_mem,smk
225.82125668896322,0.009176210085168612,rho_prot,const_rho_mem,smk
226.81006688963208,0.009311304323243695,rho_prot,const_rho_mem,smk
227.798877090301,0.009432135888789401,rho_prot,const_rho_mem,smk
228.78768729096987,0.009534123231038793,rho_prot,const_rho_mem,smk
229.7764974916388,0.009617749559542086,rho_prot,const_rho_mem,smk
230.76530769230766,0.009688024124354513,rho_prot,const_rho_mem,smk
231.75411789297658,0.009753038706665183,rho_prot,const_rho_mem,smk
232.74292809364545,0.009823201617205526,rho_prot,const_rho_mem,smk
233.73173829431437,0.009911547192535947,rho_prot,const_rho_mem,smk
234.7205484949833,0.010033828555271932,rho_prot,const_rho_mem,smk
235.70935869565216,0.010206650762037743,rho_prot,const_rho_mem,smk
236.69816889632108,0.01044337538995875,rho_prot,const_rho_mem,smk
237.68697909698994,0.01074963278333319,rho_prot,const_rho_mem,smk
238.67578929765887,0.011120934055644393,rho_prot,const_rho_mem,smk
239.66459949832773,0.011543454576443327,rho_prot,const_rho_mem,smk
240.65340969899665,0.011997079705784158,rho_prot,const_rho_mem,smk
241.64221989966552,0.012459108859811866,rho_prot,const_rho_mem,smk
242.63103010033444,0.012907672885730795,rho_prot,const_rho_mem,smk
243.6198403010033,0.013324505914475523,rho_prot,const_rho_mem,smk
244.60865050167223,0.013696510116837838,rho_prot,const_rho_mem,smk
245.59746070234115,0.014015497622756749,rho_prot,const_rho_mem,smk
246.58627090301002,0.014276494467316506,rho_prot,const_rho_mem,smk
247.57508110367894,0.014476207209123087,rho_prot,const_rho_mem,smk
248.5638913043478,0.014613082414034652,rho_prot,const_rho_mem,smk
249.55270150501673,0.014688774584886934,rho_prot,const_rho_mem,smk
250.5415117056856,0.014709471958187052,rho_prot,const_rho_mem,smk
251.53032190635452,0.014685677486991804,rho_prot,const_rho_mem,smk
252.51913210702338,0.014630125970270465,rho_prot,const_rho_mem,smk
253.5079423076923,0.014554303856491977,rho_prot,const_rho_mem,smk
254.49675250836117,0.014464416941355335,rho_prot,const_rho_mem,smk
255.4855627090301,0.014358274251461104,rho_prot,const_rho_mem,smk
256.47437290969896,0.014225050079783187,rho_prot,const_rho_mem,smk
257.4631831103679,0.01404886901274206,rho_prot,const_rho_mem,smk
258.4519933110368,0.013814603995166238,rho_prot,const_rho_mem,smk
259.44080351170567,0.013512551675290222,rho_prot,const_rho_mem,smk
260.4296137123746,0.013139849243524399,rho_prot,const_rho_mem,smk
261.41842391304345,0.012699436186784457,rho_prot,const_rho_mem,smk
262.4072341137124,0.012198793248505185,rho_prot,const_rho_mem,smk
263.39604431438124,0.011649382733550522,rho_prot,const_rho_mem,smk
264.38485451505016,0.011065794268557154,rho_prot,const_rho_mem,smk
265.37366471571903,0.010463525504113636,rho_prot,const_rho_mem,smk
266.36247491638795,0.0098559340269145,rho_prot,const_rho_mem,smk
267.3512851170568,0.009252114943133516,rho_prot,const_rho_mem,smk
268.34009531772574,0.008656975356334388,rho_prot,const_rho_mem,smk
269.32890551839466,0.008073186888235955,rho_prot,const_rho_mem,smk
270.31771571906353,0.007503495886113599,rho_prot,const_rho_mem,smk
271.30652591973245,0.006951934938980903,rho_prot,const_rho_mem,smk
272.2953361204013,0.006423455650419749,rho_prot,const_rho_mem,smk
273.28414632107024,0.005922435261902021,rho_prot,const_rho_mem,smk
274.2729565217391,0.00545092242440964,rho_prot,const_rho_mem,smk
275.261766722408,0.005007594868628274,rho_prot,const_rho_mem,smk
276.2505769230769,0.004588294489720945,rho_prot,const_rho_mem,smk
277.2393871237458,0.004188289966731411,rho_prot,const_rho_mem,smk
278.2281973244147,0.0038050992629813396,rho_prot,const_rho_mem,smk
279.2170075250836,0.0034398760909943775,rho_prot,const_rho_mem,smk
280.20581772575247,0.003096205009758471,rho_prot,const_rho_mem,smk
281.1946279264214,0.00277726600535071,rho_prot,const_rho_mem,smk
282.1834381270903,0.0024837576090332727,rho_prot,const_rho_mem,smk
283.1722483277592,0.0022141935304342496,rho_prot,const_rho_mem,smk
284.1610585284281,0.0019669054024915723,rho_prot,const_rho_mem,smk
285.14986872909697,0.0017415641562878916,rho_prot,const_rho_mem,smk
286.1386789297659,0.001538730717912952,rho_prot,const_rho_mem,smk
