quantity,source,growth_rate_hr,median_value,97.5%,2.5%
ms_rho_peri,Mori et al. 2021,0.5010702510071894,80.1233,70.02207999999999,91.41232500000001
ms_rho_peri,Mori et al. 2021,0.55,110.76,97.247725,125.74872500000001
ms_rho_peri,Mori et al. 2021,0.6817841120261757,74.95824999999999,66.53556250000001,84.4457
ms_rho_peri,Mori et al. 2021,0.71,87.88925,78.04649,98.91807750000001
ms_rho_peri,Mori et al. 2021,0.72,83.23135,73.9848475,93.6675525
ms_rho_peri,Mori et al. 2021,0.7701635339554948,63.86225,56.938750000000006,71.723765
ms_rho_peri,Mori et al. 2021,0.81,66.26975,59.1649325,74.3278425
ms_rho_peri,Mori et al. 2021,0.8317766166719343,61.430800000000005,54.8904525,68.81103250000001
ms_rho_peri,Mori et al. 2021,0.8487516496652392,58.2163,52.0646525,65.23333000000001
ms_rho_peri,Mori et al. 2021,0.9041050181216675,60.57984999999999,54.2833125,67.84832999999999
ms_rho_peri,Mori et al. 2021,1.1240224549620734,52.24655,46.694717499999996,58.70131500000001
ms_rho_peri,Peebo et al. 2015,0.21,144.1265,119.55775000000001,174.89622500000002
ms_rho_peri,Peebo et al. 2015,0.22,129.2045,107.48245,156.257225
ms_rho_peri,Peebo et al. 2015,0.25,134.529,112.756425,161.15302499999999
ms_rho_peri,Peebo et al. 2015,0.26,120.9205,101.59237499999999,144.422425
ms_rho_peri,Peebo et al. 2015,0.31,124.951,106.0693,146.9721
ms_rho_peri,Peebo et al. 2015,0.35,131.24599999999998,112.246275,153.2264
ms_rho_peri,Peebo et al. 2015,0.36,98.88775,84.76208,115.18010000000001
ms_rho_peri,Peebo et al. 2015,0.41,85.2736,73.62489,98.538115
ms_rho_peri,Peebo et al. 2015,0.42,133.768,115.636525,154.207625
ms_rho_peri,Peebo et al. 2015,0.45,113.7815,98.7885225,130.507125
ms_rho_peri,Peebo et al. 2015,0.46,70.57585,61.402072499999996,80.9102975
ms_rho_peri,Peebo et al. 2015,0.51,60.996700000000004,53.34197,69.5459275
ms_rho_peri,Peebo et al. 2015,0.53,97.61425,85.53785,111.118925
ms_rho_peri,Peebo et al. 2015,0.55,90.4799,79.441675,102.7244
ms_rho_peri,Peebo et al. 2015,0.63,102.712,90.92728,116.033125
ms_rho_peri,Peebo et al. 2015,0.65,87.47014999999999,77.548095,98.71166500000001
ms_rho_peri,Peebo et al. 2015,0.73,132.243,117.6173,148.73049999999998
ms_rho_peri,Peebo et al. 2015,0.74,81.6089,72.63498249999999,91.74435
ms_rho_peri,Peebo et al. 2015,0.78,65.87865,58.719177499999994,74.009935
ms_rho_peri,Peebo et al. 2015,0.82,26.527549999999998,23.68896,29.738685
ms_rho_peri,Schmidt et al. 2016,0.12,145.3875,117.5187,182.759375
ms_rho_peri,Schmidt et al. 2016,0.2,144.724,119.709825,176.2101
ms_rho_peri,Schmidt et al. 2016,0.26,164.955,138.588775,197.01557499999998
ms_rho_peri,Schmidt et al. 2016,0.3,100.2365,84.93042,118.243375
ms_rho_peri,Schmidt et al. 2016,0.35,131.47899999999998,112.4453,153.4984
ms_rho_peri,Schmidt et al. 2016,0.4,109.504,94.454585,126.71755
ms_rho_peri,Schmidt et al. 2016,0.42,120.297,103.99155,138.67855
ms_rho_peri,Schmidt et al. 2016,0.44,112.5015,97.5319675,129.326675
ms_rho_peri,Schmidt et al. 2016,0.46,104.422,90.8490625,119.71277500000001
ms_rho_peri,Schmidt et al. 2016,0.47,110.19399999999999,90.981155,133.002875
ms_rho_peri,Schmidt et al. 2016,0.5,97.495,85.17581,111.2404
ms_rho_peri,Schmidt et al. 2016,0.55,82.35050000000001,63.829412500000004,105.93897499999999
ms_rho_peri,Schmidt et al. 2016,0.58,77.1884,68.091575,87.494895
ms_rho_peri,Schmidt et al. 2016,0.63,102.92,91.11117750000001,116.268125
ms_rho_peri,Schmidt et al. 2016,0.65,79.96295,70.8924725,90.23958499999999
ms_rho_peri,Schmidt et al. 2016,0.66,68.08885000000001,60.4161675,76.80538250000001
ms_rho_peri,Schmidt et al. 2016,1.27,84.79935,75.618435,95.58753250000001
ms_rho_peri,Schmidt et al. 2016,1.9,68.49105,59.2455225,79.73366750000001
ms_rho_peri,Soufi et al. 2015,0.6931471805599453,107.09049999999999,95.03862,120.5873
