lower,upper,quantity,interval,strain,carbon_source,overexpression,inducer_conc
0.801094625,0.836476125,volume_mu,25%,malE-rbsB-fliC-KO,acetate,rbsB,50.0
0.818515,0.818515,volume_mu,median,malE-rbsB-fliC-KO,acetate,rbsB,50.0
0.73604965,0.86249905,volume_mu,95%,malE-rbsB-fliC-KO,acetate,rbsB,100.0
0.7600747499999999,0.839360375,volume_mu,75%,malE-rbsB-fliC-KO,acetate,rbsB,100.0
0.78906575,0.80891275,volume_mu,25%,malE-rbsB-fliC-KO,acetate,rbsB,100.0
0.799068,0.799068,volume_mu,median,malE-rbsB-fliC-KO,acetate,rbsB,100.0
0.8159104,1.3964569999999998,volume_mu,95%,malE-rbsB-fliC-KO,glucose,none,0.0
0.919177,1.27443125,volume_mu,75%,malE-rbsB-fliC-KO,glucose,none,0.0
1.0505262499999999,1.14169,volume_mu,25%,malE-rbsB-fliC-KO,glucose,none,0.0
1.09691,1.09691,volume_mu,median,malE-rbsB-fliC-KO,glucose,none,0.0
2.1975625,2.8364665,volume_mu,95%,wildtype,LB,none,0.0
2.306245,2.7355887500000002,volume_mu,75%,wildtype,LB,none,0.0
2.46982875,2.5836300000000003,volume_mu,25%,wildtype,LB,none,0.0
2.52856,2.52856,volume_mu,median,wildtype,LB,none,0.0
0.695082,0.7733317999999999,volume_mu,95%,wildtype,acetate,none,0.0
0.7083245,0.7609915,volume_mu,75%,wildtype,acetate,none,0.0
0.728201875,0.741722375,volume_mu,25%,wildtype,acetate,none,0.0
