value,kde,parameter
1.7481253999999997,0.0013515174310015769,k
1.7546973,0.001339583136591523,k
1.7612691999999999,0.0013275957810282618,k
1.7678410999999998,0.001315529915399354,k
1.7744129999999998,0.0013033618334204102,k
1.7809848999999998,0.0012910701290123267,k
1.7875567999999997,0.001278636206874851,k
1.7941287,0.0012660447321638478,k
1.8007005999999999,0.0012532840069343946,k
1.8072724999999998,0.0012403462629157263,k
1.8138443999999998,0.0012272278623861133,k
1.8204162999999998,0.0012139294013573027,k
1.8269881999999997,0.0012004557118944514,k
1.8335601,0.0011868157631171918,k
1.8401319999999999,0.0011730224631775225,k
1.8467038999999998,0.0011590923672134144,k
1.8532757999999998,0.0011450452988590325,k
1.8598476999999998,0.001130903895278213,k
1.8664195999999997,0.0011166930878088147,k
1.8729914999999997,0.001102439532098127,k
1.8795633999999999,0.0010881710030186335,k
1.8861352999999998,0.0010739157706342692,k
1.8927071999999998,0.0010597019740065578,k
1.8992790999999998,0.001045557009667484,k
1.9058509999999997,0.0010315069511354672,k
1.9124228999999997,0.001017576014920899,k
1.9189948,0.001003786087081913,k
1.9255666999999999,0.0009901563225865912,k
1.9321385999999998,0.0009767028275669647,k
1.9387104999999998,0.0009634384320759862,k
1.9452823999999997,0.0009503725582555877,k
1.9518542999999997,0.0009375111859748357,k
1.9584262,0.0009248569150896311,k
1.9649980999999999,0.0009124091206011741,k
1.9715699999999998,0.0009001641942396207,k
0.030473300000000002,0.0,alpha_min
0.060946600000000004,0.0,alpha_min
0.0914199,0.0,alpha_min
0.12189320000000001,0.0,alpha_min
0.1523665,0.0,alpha_min
0.1828398,0.0,alpha_min
0.2133131,0.0,alpha_min
0.2437864,0.0,alpha_min
0.2742597,0.0,alpha_min
0.304733,0.0,alpha_min
0.33520629999999996,0.0,alpha_min
0.36567959999999994,0.0,alpha_min
0.3961529,0.0,alpha_min
0.42662619999999996,0.0,alpha_min
0.45709949999999994,0.0,alpha_min
0.4875728,0.0,alpha_min
0.5180461,0.0,alpha_min
0.5485194,0.0,alpha_min
0.5789927,0.0,alpha_min
0.609466,0.0,alpha_min
0.6399393,0.0,alpha_min
0.6704126,0.0,alpha_min
0.7008859,0.0,alpha_min
0.7313592,0.0,alpha_min
0.7618325,0.0,alpha_min
0.7923058,0.0,alpha_min
0.8227791,0.0,alpha_min
0.8532524,0.0,alpha_min
0.8837257,0.0,alpha_min
0.914199,6.3397046472751e-310,alpha_min
0.9446723,1.0597590784577724e-295,alpha_min
0.9751456,8.101480602589272e-282,alpha_min
1.0056189,2.8323099503271294e-268,alpha_min
1.0360922,4.528311461905541e-255,alpha_min
1.0665654999999998,3.310937124689295e-242,alpha_min
1.0970387999999998,1.1070945359218575e-229,alpha_min
1.1275121,1.6929245846364901e-217,alpha_min
1.1579853999999998,1.1838853519947837e-205,alpha_min
1.1884586999999998,3.786176130257648e-194,alpha_min
1.218932,5.5374664751484486e-183,alpha_min
1.2494052999999998,3.703740388373443e-172,alpha_min
1.2798785999999998,1.1328935278127401e-161,alpha_min
1.3103519,1.5847354924073047e-151,alpha_min
1.3408251999999998,1.0137797321491462e-141,alpha_min
1.3712984999999998,2.965852542991029e-132,alpha_min
1.4017718,3.96802715960535e-123,alpha_min
1.4322450999999998,2.4278332112969547e-114,alpha_min
1.4627183999999998,6.793321847936546e-106,alpha_min
1.4931917,8.692899608279017e-98,alpha_min
1.5236649999999998,5.087053068860988e-90,alpha_min
1.5541382999999998,1.361403940086286e-82,alpha_min
1.5846116,1.666198997439663e-75,alpha_min
1.6150848999999998,9.32579501398263e-69,alpha_min
1.6455581999999997,2.38706361087735e-62,alpha_min
1.6760315,2.7942242034450993e-56,alpha_min
1.7065047999999998,1.495814155349869e-50,alpha_min
1.7369780999999997,3.661956306472881e-45,alpha_min
1.7674514,4.0998484949894475e-40,alpha_min
1.7979246999999998,2.0991408923585048e-35,alpha_min
1.8283979999999997,4.91512424619682e-31,alpha_min
1.8588713,5.2631596374221854e-27,alpha_min
1.8893445999999998,2.5773756186753235e-23,alpha_min
1.9198178999999997,5.772022557825177e-20,alpha_min
1.9502912,5.911496742877808e-17,alpha_min
1.9807644999999998,2.768764535788363e-14,alpha_min
2.0112378,5.930533349713713e-12,alpha_min
2.0417111,5.809260767892275e-10,alpha_min
2.0721844,2.602372325197764e-08,alpha_min
2.1026577,5.331601638940859e-07,alpha_min
2.133131,4.997448168956116e-06,alpha_min
2.1636043,2.1502425552868553e-05,alpha_min
2.1940776,4.371930608974587e-05,alpha_min
2.2245509,5.197399613566232e-05,alpha_min
2.2550242,7.006286333283925e-05,alpha_min
2.2854975,0.00011162636269709769,alpha_min
2.3159708,0.0001582347838690129,alpha_min
2.3464441,0.0002392414715349284,alpha_min
2.3769174,0.00036613595089318555,alpha_min
2.4073907,0.0005609944266258558,alpha_min
2.437864,0.0008308297660769476,alpha_min
2.4683373,0.001166978473708976,alpha_min
2.4988106,0.0016985112167674146,alpha_min
2.5292839,0.002608977600039753,alpha_min
2.5597572,0.003955439022120694,alpha_min
2.5902305,0.005733543339700686,alpha_min
2.6207038,0.008124649916669164,alpha_min
2.6511771,0.01100409057929518,alpha_min
2.6816504,0.01382961284493236,alpha_min
2.7121237,0.016423262960888817,alpha_min
2.742597,0.019382172620670077,alpha_min
2.7730703,0.023587522421762225,alpha_min
2.8035436,0.028775946024629174,alpha_min
2.8340169,0.034167863808357,alpha_min
2.8644902,0.03961546653642481,alpha_min
2.8949635,0.04483492403670871,alpha_min
2.9254368,0.04932675432785668,alpha_min
2.9559101,0.05295207288392979,alpha_min
2.9863834,0.05551123631537974,alpha_min
3.0168567,0.05747921407390949,alpha_min
3.04733,0.05905214886380189,alpha_min
3.0778033,0.058307081149880126,alpha_min
3.1082766,0.05499289090670706,alpha_min
3.1387499,0.05091679362775832,alpha_min
3.1692232,0.047507458045187675,alpha_min
3.1996965,0.044532106723500095,alpha_min
3.2301698,0.04033135176858634,alpha_min
3.2606431,0.035391248050123766,alpha_min
3.2911164,0.030233024150187453,alpha_min
3.3215897,0.024606766530382844,alpha_min
3.352063,0.01952390134229483,alpha_min
3.3825363,0.015370700685859055,alpha_min
3.4130096,0.01188422708584133,alpha_min
3.4434829,0.009229632122090747,alpha_min
3.4739562,0.007131220299888945,alpha_min
3.5044295,0.005307327517795177,alpha_min
3.5349028,0.003792387126344365,alpha_min
3.5653761,0.0027310504087762594,alpha_min
3.5958494,0.002154114615317468,alpha_min
3.6263227,0.0017057421651337826,alpha_min
3.656796,0.00118333038691167,alpha_min
3.6872693,0.0006755568895920304,alpha_min
3.7177426,0.0002994808708459378,alpha_min
3.7482159,0.00010946301410102119,alpha_min
3.7786892,6.433274121957165e-05,alpha_min
3.8091625,9.611418534173337e-05,alpha_min
3.8396358,0.0001164303651460269,alpha_min
3.8701091,8.02396553527064e-05,alpha_min
3.9005824,2.963825898456123e-05,alpha_min
3.9310557,5.5847454669251815e-06,alpha_min
3.961529,5.150457890598736e-07,alpha_min
3.9920023,2.2611158349598146e-08,alpha_min
4.0224756,4.646870223893937e-10,alpha_min
4.0529489,4.427095951491726e-12,alpha_min
4.083422199999999,1.9441941823545407e-14,alpha_min
4.113895499999999,3.9227733504037964e-17,alpha_min
4.1443688,3.629488858529302e-20,alpha_min
4.174842099999999,1.5381841600327716e-23,alpha_min
4.205315399999999,2.9839796845634643e-27,alpha_min
4.2357887,2.6487464416013004e-31,alpha_min
4.266261999999999,1.0755821113806125e-35,alpha_min
4.296735299999999,1.9977803277232926e-40,alpha_min
4.3272086,1.6971453343054397e-45,alpha_min
4.357681899999999,6.593828219052483e-51,alpha_min
4.388155199999999,1.171633746822174e-56,alpha_min
4.4186285,9.520832737047847e-63,alpha_min
4.449101799999999,3.538203539349759e-69,alpha_min
4.479575099999999,6.013303915716318e-76,alpha_min
4.5100484,4.6737403464880504e-83,alpha_min
4.540521699999999,1.6612549421651263e-90,alpha_min
4.570994999999999,2.7003981027730876e-98,alpha_min
4.6014683,2.007422685475455e-106,alpha_min
4.631941599999999,6.824474626606983e-115,alpha_min
4.662414899999999,1.0610085547349988e-123,alpha_min
4.6928882,7.543758174999734e-133,alpha_min
4.723361499999999,2.4528772093292573e-142,alpha_min
4.753834799999999,3.647396828335623e-152,alpha_min
4.7843081,2.480329456544792e-162,alpha_min
4.814781399999999,7.713560071558955e-173,alpha_min
4.845254699999999,1.0970325087980653e-183,alpha_min
4.875728,7.135152548276554e-195,alpha_min
4.906201299999999,2.1222970022702732e-206,alpha_min
4.936674599999999,2.886876401500358e-218,alpha_min
4.9671479,1.795847074893708e-230,alpha_min
4.997621199999999,5.108926373203276e-243,alpha_min
5.028094499999999,6.646745760232047e-256,alpha_min
5.0585678,3.9546460696239024e-269,alpha_min
5.089041099999999,1.0760322957626337e-282,alpha_min
5.119514399999999,1.3389431016845486e-296,alpha_min
5.1499877,7.619352543186e-311,alpha_min
5.180460999999999,0.0,alpha_min
5.210934299999999,0.0,alpha_min
5.2414076,0.0,alpha_min
5.271880899999999,0.0,alpha_min
5.302354199999999,0.0,alpha_min
5.3328275,0.0,alpha_min
5.363300799999999,0.0,alpha_min
5.393774099999999,0.0,alpha_min
5.4242474,0.0,alpha_min
5.454720699999999,0.0,alpha_min
5.485193999999999,0.0,alpha_min
5.5156673,0.0,alpha_min
5.546140599999999,0.0,alpha_min
5.576613899999999,0.0,alpha_min
5.6070872,0.0,alpha_min
5.637560499999999,0.0,alpha_min
5.668033799999999,0.0,alpha_min
5.6985071,0.0,alpha_min
5.728980399999999,0.0,alpha_min
5.759453699999999,0.0,alpha_min
5.789927,0.0,alpha_min
5.820400299999999,0.0,alpha_min
5.850873599999999,0.0,alpha_min
5.8813469,0.0,alpha_min
5.911820199999999,0.0,alpha_min
5.942293499999999,0.0,alpha_min
5.9727668,0.0,alpha_min
6.003240099999999,0.0,alpha_min
6.033713399999999,0.0,alpha_min
6.0641867,0.0,alpha_min
6.094659999999999,0.0,alpha_min
6.125133299999999,0.0,alpha_min
6.1556066,0.0,alpha_min
6.186079899999999,0.0,alpha_min
6.216553199999999,0.0,alpha_min
6.2470265,0.0,alpha_min
6.277499799999999,0.0,alpha_min
6.307973099999999,0.0,alpha_min
6.3384464,0.0,alpha_min
6.368919699999999,0.0,alpha_min
6.399392999999999,0.0,alpha_min
6.4298663,0.0,alpha_min
6.460339599999999,0.0,alpha_min
6.490812899999999,0.0,alpha_min
6.5212862,0.0,alpha_min
6.551759499999999,0.0,alpha_min
6.582232799999999,0.0,alpha_min
6.6127061,0.0,alpha_min
6.643179399999999,0.0,alpha_min
6.673652699999999,0.0,alpha_min
6.704126,0.0,alpha_min
6.734599299999999,0.0,alpha_min
6.765072599999999,0.0,alpha_min
6.7955459,0.0,alpha_min
6.826019199999999,0.0,alpha_min
6.856492499999999,0.0,alpha_min
6.8869658,0.0,alpha_min
6.917439099999999,0.0,alpha_min
6.947912399999999,0.0,alpha_min
6.9783857,0.0,alpha_min
7.008858999999999,0.0,alpha_min
7.039332299999999,0.0,alpha_min
7.0698056,0.0,alpha_min
7.100278899999999,0.0,alpha_min
7.130752199999999,0.0,alpha_min
7.1612255,0.0,alpha_min
7.191698799999999,0.0,alpha_min
7.222172099999999,0.0,alpha_min
7.2526454,0.0,alpha_min
7.283118699999999,0.0,alpha_min
7.313591999999999,0.0,alpha_min
7.3440653,0.0,alpha_min
7.374538599999999,0.0,alpha_min
7.405011899999999,0.0,alpha_min
7.4354852,0.0,alpha_min
7.465958499999999,0.0,alpha_min
