clock_time,od_600nm,strain,carbon_source,date,run_no,elapsed_time_hr
2023-01-11 12:36:00,0.264,WT,acetate,2021-08-04,1,2.1
2023-01-11 12:53:00,0.3,WT,acetate,2021-08-04,1,2.3833333333333333
2023-01-11 13:21:00,0.372,WT,acetate,2021-08-04,1,2.85
2023-01-11 11:57:00,0.158,WT,acetate,2022-03-03,1,0.0
2023-01-11 12:27:00,0.192,WT,acetate,2022-03-03,1,0.5
2023-01-11 12:50:00,0.224,WT,acetate,2022-03-03,1,0.8833333333333333
2023-01-11 13:30:00,0.285,WT,acetate,2022-03-03,1,1.55
2023-01-11 14:30:00,0.398,WT,acetate,2022-03-03,1,2.55
2023-01-11 13:15:00,0.058,WT,acetate,2022-03-11,1,0.0
2023-01-11 14:20:00,0.075,WT,acetate,2022-03-11,1,1.0833333333333335
2023-01-11 15:18:00,0.106,WT,acetate,2022-03-11,1,2.0500000000000003
2023-01-11 16:18:00,0.141,WT,acetate,2022-03-11,1,3.05
2023-01-11 16:44:00,0.161,WT,acetate,2022-03-11,1,3.4833333333333334
2023-01-11 17:28:00,0.207,WT,acetate,2022-03-11,1,4.216666666666667
2023-01-11 17:46:00,0.227,WT,acetate,2022-03-11,1,4.5166666666666675
2023-01-11 14:13:00,0.09,WT,acetate,2022-03-13,1,0.0
2023-01-11 14:40:00,0.103,WT,acetate,2022-03-13,1,0.45
2023-01-11 15:12:00,0.127,WT,acetate,2022-03-13,1,0.9833333333333333
2023-01-11 15:58:00,0.168,WT,acetate,2022-03-13,1,1.75
2023-01-11 16:25:00,0.199,WT,acetate,2022-03-13,1,2.2
2023-01-11 16:53:00,0.237,WT,acetate,2022-03-13,1,2.6666666666666665
2023-01-11 17:25:00,0.281,WT,acetate,2022-03-13,1,3.2
2023-01-11 13:00:00,0.078,WT,acetate,2022-03-14,1,0.0
2023-01-11 13:30:00,0.09,WT,acetate,2022-03-14,1,0.5
2023-01-11 14:00:00,0.107,WT,acetate,2022-03-14,1,1.0
2023-01-11 14:40:00,0.135,WT,acetate,2022-03-14,1,1.6666666666666667
2023-01-11 14:54:00,0.145,WT,acetate,2022-03-14,1,1.9
2023-01-11 15:16:00,0.162,WT,acetate,2022-03-14,1,2.266666666666667
2023-01-11 15:22:00,0.17,WT,acetate,2022-03-14,1,2.3666666666666667
2023-01-11 16:06:00,0.21,WT,acetate,2022-03-14,1,3.1
2023-01-11 16:28:00,0.233,WT,acetate,2022-03-14,1,3.466666666666667
2023-01-11 16:31:00,0.237,WT,acetate,2022-03-14,1,3.5166666666666666
2023-01-11 11:53:00,0.066,WT,acetate,2022-03-15,1,0.0
2023-01-11 12:25:00,0.076,WT,acetate,2022-03-15,1,0.5333333333333334
2023-01-11 13:05:00,0.097,WT,acetate,2022-03-15,1,1.2
2023-01-11 14:03:00,0.14,WT,acetate,2022-03-15,1,2.166666666666667
