strain,carbon_source,overexpression,inducer,inducer_conc,temperature,run_idx,growth_rate_hr,od_init,perturbation_idx,wt_carbon_idx,carbon_idx
malE-rbsB-fliC-KO,acetate,rbsB,ctc,100,37.0,66,0.4434558436970033,0.0786188028653377,13,20,1
malE-rbsB-fliC-KO,acetate,rbsB,ctc,100,37.0,91,0.2721214136075695,0.0665154583081155,13,20,1
malE-rbsB-fliC-KO,glucose,none,none,0,37.0,22,0.9134296926371476,0.0267027330143689,14,21,4
malE-rbsB-fliC-KO,glucose,none,none,0,37.0,28,0.9005622890490491,0.0609532234517496,14,21,4
malE-rbsB-fliC-KO,glucose,none,none,0,37.0,216,0.9301034654407276,0.0862834519247585,14,21,4
malE-rbsB-fliC-KO,acetate,malE,ctc,50,37.0,33,0.5069834892497397,0.0859684669619876,15,20,1
malE-rbsB-fliC-KO,acetate,malE,ctc,50,37.0,42,0.3599146516759124,0.0679489909512892,15,20,1
malE-rbsB-fliC-KO,acetate,malE,ctc,50,37.0,62,0.5069834892497397,0.0859684669619876,15,20,1
malE-rbsB-fliC-KO,acetate,malE,ctc,50,37.0,77,0.3406830440629561,0.1745475897735734,15,20,1
wildtype,glucoseCAA,none,none,0,37.0,93,1.238494994439223,0.0378304884423929,16,16,5
wildtype,glucoseCAA,none,none,0,37.0,95,1.1928139596960647,0.0663564589977145,16,16,5
wildtype,glucoseCAA,none,none,0,37.0,116,1.0947256998779873,0.0912856968815318,16,16,5
wildtype,glucoseCAA,none,none,0,37.0,119,1.1115706079644283,0.1138469067238099,16,16,5
wildtype,glucoseCAA,none,none,0,37.0,123,1.1742049661443317,0.1326226382243402,16,16,5
wildtype,glucoseCAA,none,none,0,37.0,133,1.1928139596960647,0.0663564589977145,16,16,5
wildtype,glucoseCAA,none,none,0,37.0,145,1.210538864373934,0.0564117746775601,16,16,5
wildtype,glucoseCAA,none,none,0,37.0,157,1.2626936296488245,0.039782881136809,16,16,5
wildtype,glucoseCAA,none,none,0,37.0,161,1.1848326152879514,0.0188718479332445,16,16,5
wildtype,glycerol,none,none,0,37.0,96,0.5963056690681514,0.0500742505158165,17,17,3
wildtype,glycerol,none,none,0,37.0,114,0.6139903610839129,0.180379101208807,17,17,3
wildtype,glycerol,none,none,0,37.0,120,0.5870327929804952,0.0367772997041387,17,17,3
wildtype,glycerol,none,none,0,37.0,134,0.5963056690681514,0.0500742505158165,17,17,3
wildtype,glycerol,none,none,0,37.0,146,0.688808011798735,0.0423039798087069,17,17,3
wildtype,glycerol,none,none,0,37.0,152,0.6798604876522409,0.0424649987841582,17,17,3
wildtype,glycerol,none,none,0,37.0,155,0.6676477218089867,0.0473147069269003,17,17,3
wildtype,glycerol,none,none,0,37.0,159,0.5678635574489692,0.065355383592972,17,17,3
wildtype,sorbitol,none,none,0,37.0,97,0.4069329645079167,0.1571861644434289,18,18,2
wildtype,sorbitol,none,none,0,37.0,108,0.4990701435680591,0.1050183331024556,18,18,2
wildtype,sorbitol,none,none,0,37.0,135,0.4069329645079167,0.1571861644434289,18,18,2
wildtype,LB,none,none,0,37.0,117,1.6847928489158357,0.0899741875925981,19,19,6
wildtype,LB,none,none,0,37.0,122,1.7952787102800143,0.0342016423466691,19,19,6
wildtype,LB,none,none,0,37.0,127,1.801787915661255,0.0799242701832685,19,19,6
wildtype,LB,none,none,0,37.0,130,1.845959461043014,0.1208880843189905,19,19,6
wildtype,LB,none,none,0,37.0,131,1.7396524113393204,0.132788808202285,19,19,6
wildtype,LB,none,none,0,37.0,147,2.3261170941366243,0.045448912241045,19,19,6
wildtype,acetate,none,none,0,37.0,15,0.3471059629891201,0.0359147913987439,20,20,1
wildtype,acetate,none,none,0,37.0,98,0.3222509007157039,0.0473137371412255,20,20,1
wildtype,acetate,none,none,0,37.0,99,0.3519190298164369,0.0518226919333746,20,20,1
wildtype,acetate,none,none,0,37.0,100,0.3471059629891201,0.0359147913987439,20,20,1
wildtype,acetate,none,none,0,37.0,101,0.3635750223615747,0.0681263373556939,20,20,1
wildtype,acetate,none,none,0,37.0,102,0.3335165500730375,0.0763450687634823,20,20,1
wildtype,acetate,none,none,0,37.0,103,0.331694402512931,0.064927518803079,20,20,1
wildtype,acetate,none,none,0,37.0,109,0.3619011400767633,0.1603326326948839,20,20,1
wildtype,acetate,none,none,0,37.0,110,0.3065955146848321,0.0560831334775759,20,20,1
wildtype,acetate,none,none,0,37.0,112,0.3629606568728441,0.0889828040855452,20,20,1
wildtype,acetate,none,none,0,37.0,115,0.3190556865936408,0.0781708780724526,20,20,1
wildtype,acetate,none,none,0,37.0,121,0.3458951964906606,0.06491535879028,20,20,1
wildtype,acetate,none,none,0,37.0,126,0.438231622405355,0.1208998471958687,20,20,1
wildtype,acetate,none,none,0,37.0,129,0.4245525065207698,0.109199412031595,20,20,1
wildtype,acetate,none,none,0,37.0,148,0.3426003365372377,0.0365751273027229,20,20,1
wildtype,acetate,none,none,0,37.0,149,0.3607605915000799,0.0596030254322734,20,20,1
